property_type_id,propertyType,zoning,bedrooms,bathrooms,squareFootage,lotSize,ownerOccupied
218,Single Family,PD,4.0,3.0,3119.0,12690.0,1.0
219,Single Family,Unknown,3.0,1.0,1008.0,15682.0,1.0
220,Single Family,R4,3.0,2.0,1494.0,6780.0,1.0
221,Single Family,Unknown,0.0,2.0,2276.0,15865.0,1.0
222,Single Family,Unknown,3.0,2.0,2575.0,0.0,1.0
223,Duplex-Triplex,R4-1,0.0,0.0,3372.0,2262.0,1.0
224,Single Family,Unknown,0.0,3.0,2045.0,2225.0,1.0
225,Single Family,Unknown,1.0,1.0,432.0,4008.0,1.0
226,Single Family,Unknown,3.0,2.0,1973.0,9583.0,1.0
227,Apartment,Unknown,0.0,1.0,445.0,0.0,0.0
228,Single Family,1102,4.0,3.5,1530.0,2614.0,1.0
229,Single Family,Unknown,4.0,1.5,1352.0,8580.0,1.0
230,Single Family,ZO01,0.0,0.0,1391.0,6360.0,1.0
231,Single Family,R1-6 DF AO,5.0,3.0,2007.0,9626.0,1.0
232,Duplex-Triplex,Unknown,2.0,2.0,2146.0,5881.0,0.0
233,Condo,Unknown,2.0,2.0,1200.0,0.0,0.0
234,Single Family,R3,3.0,2.0,2111.0,17772.0,1.0
235,Single Family,Unknown,3.0,2.0,2817.0,50530.0,0.0
236,Single Family,SFR,4.0,3.0,3300.0,7840.0,1.0
237,Single Family,C-MU-20,2.0,2.5,1466.0,3394.0,1.0
238,Land,Unknown,3.0,2.0,1552.0,9800.0,0.0
239,Single Family,RS,2.0,1.0,1644.0,6050.0,1.0
240,Single Family,Unknown,3.0,1.5,1882.0,0.0,0.0
241,Single Family,R-30,0.0,2.0,2182.0,20038.0,1.0
242,Single Family,R30,5.0,4.0,3541.0,30056.0,1.0
243,Duplex-Triplex,Unknown,2.0,2.0,1788.0,7492.0,0.0
244,Single Family,Unknown,3.0,2.0,2343.0,7840.0,1.0
245,Single Family,Unknown,3.0,1.0,1356.0,7619.0,0.0
246,Single Family,R1,0.0,1.0,713.0,3920.0,0.0
247,Condo,Unknown,2.0,2.0,1333.0,0.0,0.0
248,Single Family,Unknown,0.0,2.0,1185.0,22216.0,1.0
249,Single Family,Unknown,2.0,2.0,1317.0,11252.0,0.0
250,Duplex-Triplex,Unknown,3.0,2.0,995.0,5663.0,0.0
251,Single Family,Unknown,4.0,3.5,3699.0,78626.0,1.0
252,Single Family,R1,3.0,2.0,1360.0,6969.0,1.0
253,Single Family,Unknown,3.0,2.0,1678.0,0.0,0.0
254,Single Family,R5,4.0,2.0,1088.0,5950.0,1.0
255,Single Family,Unknown,2.0,2.5,1286.0,3200.0,0.0
256,Condo,Unknown,2.0,0.0,1398.0,583268.0,1.0
257,Single Family,RS,3.0,2.0,1709.0,11038.0,1.0
258,Single Family,Unknown,3.0,2.0,1227.0,6098.0,1.0
259,Single Family,PUD,4.0,2.5,2328.0,15600.0,1.0
260,Single Family,R100,4.0,2.5,2591.0,13068.0,1.0
261,Single Family,RS3,0.0,1.0,1090.0,7187.0,1.0
262,Single Family,Unknown,4.0,3.0,2168.0,0.0,0.0
263,Single Family,RA,6.0,6.0,7637.0,87556.0,1.0
264,Single Family,Unknown,4.0,3.5,4192.0,50965.0,1.0
265,Single Family,R3-1,3.0,1.5,1152.0,2717.0,1.0
266,Condo,R6MX,3.0,3.0,2031.0,0.0,0.0
267,Single Family,R5,0.0,0.0,1376.0,2500.0,1.0
268,Condo,Unknown,1.0,1.5,846.0,0.0,0.0
269,Single Family,Unknown,2.0,3.0,1408.0,0.0,0.0
270,Single Family,R-6,1.0,2.0,1120.0,10328.0,1.0
271,Condo,R-3A,2.0,2.0,1000.0,0.0,1.0
272,Single Family,Unknown,3.0,1.0,1834.0,35327.0,0.0
273,Single Family,RLD-60,3.0,2.0,1811.0,8264.0,1.0
274,Apartment,Unknown,0.0,1.0,572.0,0.0,0.0
275,Single Family,Unknown,3.0,2.5,1673.0,4500.0,1.0
276,Single Family,RLD-60,3.0,2.0,1334.0,8743.0,1.0
277,Single Family,R-22MF,2.0,1.5,1103.0,15000.0,0.0
278,Single Family,Unknown,5.0,3.0,3007.0,10469.0,1.0
279,Apartment,Unknown,1.0,1.0,803.0,0.0,0.0
280,Single Family,01A,3.0,1.0,1107.0,8712.0,1.0
281,Apartment,Unknown,3.0,1.0,9999.0,9999.0,0.0
282,Single Family,Unknown,3.0,2.0,1296.0,1873.0,0.0
283,Single Family,R-1,3.0,2.0,957.0,10125.0,1.0
284,Single Family,Unknown,3.0,3.0,1988.0,10454.0,1.0
285,Condo,Unknown,2.0,2.5,1030.0,0.0,1.0
286,Single Family,R6,4.0,3.0,3070.0,16335.0,1.0
287,Land,Unknown,0.0,0.0,0.0,14810.0,0.0
288,Condo,Unknown,3.0,3.0,2300.0,0.0,0.0
289,Single Family,Unknown,0.0,0.0,1824.0,7013.0,1.0
290,Single Family,Unknown,3.0,2.0,1286.0,43560.0,0.0
291,Single Family,Unknown,3.0,2.0,2306.0,5719.0,1.0
292,Single Family,O,0.0,1.0,1691.0,22440.0,1.0
293,Single Family,R-6,0.0,2.0,1757.0,5654.0,1.0
294,Single Family,Unknown,4.0,2.5,2200.0,6845.0,1.0
295,Manufactured,Unknown,2.0,1.0,550.0,0.0,1.0
296,Single Family,Unknown,4.0,3.5,2668.0,3100.0,1.0
297,Single Family,Unknown,4.0,1.5,1615.0,6540.0,1.0
298,Single Family,R1,3.0,2.0,1609.0,0.0,1.0
